City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sept-Îles,50.2001,-66.3821,39.72,65,100,19.57,CA,1671047934
Havre-St-Pierre,50.2334,-63.5986,39.56,65,100,26.46,CA,1671047935
Kloulklubed,7.0419,134.2556,82.87,80,100,20.85,PW,1671047935
Divnogorsk,55.9594,92.3619,-7.11,97,100,3.4,RU,1671047935
Brownsville,25.9018,-97.4975,77.09,28,37,21.9,US,1671047735
Kiryat Gat,31.61,34.7642,63.39,100,17,4.68,IL,1671047881
Ostrovnoy,68.0531,39.5131,25.99,95,100,11.27,RU,1671047936
Neryungri,56.6709,124.6491,-36.31,100,100,4.54,RU,1671047937
Katobu,-4.9408,122.5276,75.83,90,100,2.95,ID,1671047937
Berdigestyakh,62.0989,126.6992,-41.64,100,100,1.45,RU,1671047937
Xam Nua,20.4197,104.0439,45.81,99,36,1.79,LA,1671047938
Cankuzo Province,-3.1333,30.5833,57.65,94,100,2.68,BI,1671047938
Gondanglegi,-7.7479,112.0132,75.85,92,100,3.8,ID,1671047939
General Roca,-39.0333,-67.5833,90.86,12,9,25.9,AR,1671047939
Nuuk,64.1835,-51.7216,11.75,68,92,8.5,GL,1671047940
Batagay-Alyta,67.8006,130.4114,-33.68,88,59,3.27,RU,1671047940
Villarrica,-25.75,-56.4333,91.44,24,0,2.08,PY,1671047940
Maceió,-9.6658,-35.7353,83.64,74,0,12.66,BR,1671047941
Caconda,-13.7333,15.0667,61.3,89,99,8.43,AO,1671047941
Basco,20.4487,121.9702,77.54,80,100,24.74,PH,1671047689
Kumluca,36.3703,30.2869,60.76,84,100,3.13,TR,1671047942
Alekseyevsk,57.8406,108.3492,-5.33,95,100,8.46,RU,1671047942
Hofn,64.2539,-15.2082,25.39,59,100,14.29,IS,1671047943
Bollnäs,61.3482,16.3946,9.39,91,97,2.33,SE,1671047943
Nicoya,10.1483,-85.452,84.15,60,100,3.38,CR,1671047943
The Valley,18.217,-63.0578,84.06,65,40,11.5,AI,1671047944
Sambava,-14.2667,50.1667,75.78,84,100,9.62,MG,1671047944
Dwārka,22.2394,68.9678,76.33,63,99,11.74,IN,1671047945
Kysyl-Syr,63.8986,122.7617,-51.65,100,93,2.82,RU,1671047945
Riyadh,24.6877,46.7219,64.54,36,15,10.11,SA,1671047946
Abū Zabad,12.35,29.25,70.47,20,56,9.06,SD,1671047946
Kyzyl-Oktyabr,42.769,75.7313,28.65,52,33,6.8,KG,1671047947
Prymors'k,46.7348,36.3443,33.71,62,96,5.88,UA,1671047947
Puyo,-1.4667,-77.9833,69.04,94,100,3.44,EC,1671047947
Price,39.5994,-110.8107,37.11,56,12,9.13,US,1671047948
Ha Giang,22.8333,104.9833,52.43,92,5,1.59,VN,1671047825
Madimba,-10.4,40.3333,79.92,83,20,11.5,TZ,1671047948
Kedrovyy,56.1667,91.8167,-8.99,98,100,4.07,RU,1671047949
Carson City,39.1638,-119.7674,44.1,70,0,4.61,US,1671047949
Luganville,-15.5333,167.1667,80.98,71,36,5.68,VU,1671047949
Roald,62.5833,6.1333,32.32,93,75,11.5,NO,1671047950
Puerto Palomas,31.7667,-107.6167,44.91,35,0,20.02,MX,1671047951
Tambacounda,13.7539,-13.7586,82.96,10,0,7.92,SN,1671047951
Vestmanna,62.1564,-7.1664,32.92,75,75,26.46,FO,1671047951
Juba,4.8517,31.5825,79.16,51,4,0.43,SS,1671047712
Shenjiamen,29.9576,122.298,43.84,57,0,5.3,CN,1671047952
Aklavik,68.2191,-135.0107,5.5,90,100,11.54,CA,1671047952
Hambantota,6.1241,81.1185,75.42,85,100,3.6,LK,1671047952
Pringsewu,-5.3582,104.9744,73.83,85,100,2.46,ID,1671047953
Morant Bay,17.8815,-76.4093,83.82,71,51,10.65,JM,1671047953
Russell,32.3502,-85.1999,56.35,94,75,6.91,US,1671047954
Seymchan,62.8833,152.4333,-45.89,96,100,1.05,RU,1671047954
Bac Lieu,9.285,105.7244,73.13,87,33,7.14,VN,1671047955
Clyde River,70.4692,-68.5914,21.43,79,100,13.8,CA,1671047957
Bambous Virieux,-20.3428,57.7575,75.45,88,75,8.05,MU,1671047959
Iquique,-20.2208,-70.1431,75.24,68,100,8.59,CL,1671047832
Bariloche,-41.1456,-71.3082,64.15,42,40,23.02,AR,1671047960
Sidi Ali,36.0998,0.4206,59.88,87,100,2.89,DZ,1671047960
Molepolole,-24.4066,25.4951,68.14,62,0,5.68,BW,1671047961
Buala,-8.145,159.5921,79.23,81,100,1.77,SB,1671047961
Boende,-0.2167,20.8667,70.34,93,37,2.39,CD,1671047962
Lagunas,-5.2269,-75.6753,90.32,49,100,2.01,PE,1671047962
Tazovsky,67.4667,78.7,1.04,94,99,12.08,RU,1671047964
Eagle Pass,28.7091,-100.4995,72.27,21,0,21.21,US,1671047964
Tabas,33.5959,56.9244,55.06,33,100,1.07,IR,1671047965
Sittwe,20.15,92.9,68.59,70,3,8.28,MM,1671047965
San Miguel,13.4833,-88.1833,89.71,43,19,2.93,SV,1671047966
Shakawe,-18.3667,21.85,74.48,58,44,5.19,BW,1671047966
São João da Barra,-21.6403,-41.0511,77.09,68,46,14.03,BR,1671047966
Dubbo,-32.25,148.6167,46.53,76,0,4.61,AU,1671047967
Crotone,39.0851,17.1178,63.0,84,65,13.44,IT,1671047967
Rodolfo Sánchez Taboada,31.7167,-116.5667,60.1,57,71,4.0,MX,1671047968
Qian’an,44.9932,124.0581,-0.9,53,0,7.87,CN,1671047968
La Ronge,55.1001,-105.2842,12.45,85,100,9.22,CA,1671047969
Coronel Oviedo,-25.4167,-56.45,90.34,25,0,3.53,PY,1671047969
Dabra,25.9,78.3333,59.23,37,31,5.17,IN,1671047969
Xining,36.6167,101.7667,18.9,41,83,2.68,CN,1671047970
Bakchar,57.0186,82.0711,-14.12,98,90,3.71,RU,1671047970
Vanavara,60.34,102.2797,-13.99,89,14,8.21,RU,1671047971
Erenhot,43.6475,111.9767,-0.96,54,0,7.54,CN,1671047971
Port Hardy,50.6996,-127.4199,39.38,87,100,4.61,CA,1671047971
Bonthe,7.5264,-12.505,79.84,79,89,7.11,SL,1671047972
Tigre,-34.426,-58.5796,94.26,33,0,9.22,AR,1671047972
Częstochowa,50.7965,19.1241,26.08,97,100,5.23,PL,1671047972
Boguchany,58.3814,97.4531,-15.86,98,100,2.71,RU,1671047973
Yuncheng,35.0231,110.9928,33.89,32,94,0.49,CN,1671047973
Redmond,47.674,-122.1215,44.53,85,30,1.99,US,1671047790
Kearney,40.6995,-99.0815,28.96,76,100,24.16,US,1671047751
Amga,60.8953,131.9608,-57.3,100,95,1.23,RU,1671047974
Aasiaat,68.7098,-52.8699,15.57,92,100,13.0,GL,1671047974
Nhulunbuy,-12.2333,136.7667,81.21,89,57,2.3,AU,1671047975
Sangar,63.9242,127.4739,-51.63,99,51,2.64,RU,1671047975
Alofi,-19.0595,-169.9187,80.49,74,85,9.22,NU,1671047975
Bulungu,-4.55,18.6,67.3,94,13,2.04,CD,1671047976
Svobodnyy,51.4,128.1333,-18.44,84,18,10.76,RU,1671047976
Yumbe,3.4651,31.2469,68.27,75,44,4.41,UG,1671047977
Sobolevo,54.4299,31.8996,10.09,96,62,7.85,RU,1671047977
Sungai Padi,6.0851,101.8766,78.51,95,88,1.59,TH,1671047977
Pisco,-13.7,-76.2167,78.85,61,0,14.97,PE,1671047950
Ust'-Kut,56.7938,105.7672,-4.94,93,100,9.24,RU,1671047978
Delta,5.5,6.0,80.31,74,95,5.5,NG,1671047978
Ulvik,60.5672,6.9187,17.89,88,100,3.69,NO,1671047979
Rawson,-43.3002,-65.1023,65.43,50,92,19.48,AR,1671047979
Loukhi,66.0764,33.0381,6.8,98,100,2.55,RU,1671047980
Bonavista,48.6499,-53.1147,37.35,96,100,30.09,CA,1671047980
San Borja,-14.8167,-66.85,91.81,49,100,4.18,BO,1671047980
Ivdel',60.6911,60.4206,-1.88,95,18,3.4,RU,1671047981
Harlingen,26.1906,-97.6961,77.09,25,1,20.58,US,1671047742
Ribeira Brava,32.65,-17.0667,67.01,70,16,20.24,PT,1671047981
Isiolo,0.3546,37.5822,66.16,72,22,4.97,KE,1671047982
San Rafael,-34.6177,-68.3301,97.52,12,23,10.04,AR,1671047982
St. George's,12.0564,-61.7485,85.68,66,75,18.41,GD,1671047982
Wanning,18.8003,110.3967,62.8,78,100,10.8,CN,1671047983
Namatanai,-3.6667,152.4333,79.14,82,91,3.69,PG,1671047983
Monrovia,6.3005,-10.7969,80.37,81,42,6.89,LR,1671047724
Kondinskoye,59.6481,67.41,4.26,92,24,9.73,RU,1671047984
Paraná,-31.732,-60.5238,94.51,35,0,7.87,AR,1671047984
Songadh,21.1667,73.5667,73.22,82,97,6.31,IN,1671047985
Ishigaki,24.3448,124.1572,66.33,88,100,18.41,JP,1671047985
Prainha,-1.8,-53.48,93.85,33,66,5.28,BR,1671047985
Gamba,-2.65,10.0,76.08,85,100,4.07,GA,1671047986
Lodja,-3.4833,23.4333,66.45,99,100,1.59,CD,1671047987
Mtwara,-10.2667,40.1833,79.93,83,20,11.5,TZ,1671047987
Wuwei,37.9281,102.6414,21.83,37,3,3.13,CN,1671047987
Thanh Hoa,19.8,105.7667,56.25,66,5,3.36,VN,1671047988
Abu Kamal,34.4506,40.9171,59.54,57,100,5.59,SY,1671047988
Opuwo,-18.0607,13.84,73.22,36,96,8.05,NA,1671047989
Ürümqi,43.801,87.6005,7.75,85,100,2.24,CN,1671047989
Tessalit,20.1986,1.0114,75.0,13,0,7.72,ML,1671047989
Mayo,38.8876,-76.5119,42.78,47,0,5.75,US,1671047990
Gáldar,28.147,-15.6502,70.3,76,51,17.43,ES,1671047990
Talaya,61.3833,152.75,-27.13,91,100,6.35,RU,1671047991
Yulara,-25.2406,130.9889,70.32,33,100,10.76,AU,1671047991
Itaituba,-4.2761,-55.9836,93.36,52,40,9.22,BR,1671047991
Washington,47.5001,-120.5015,39.18,82,8,2.21,US,1671047992
Chitral,35.8462,71.7858,37.47,33,0,8.28,PK,1671047992
Belaya Gora,68.5333,146.4167,-29.9,94,96,5.59,RU,1671047992
Ust'-Ishim,57.6935,71.1665,-7.69,93,15,5.41,RU,1671047993
Wewak,-3.5534,143.6268,77.52,88,100,6.82,PG,1671047993
North Shore,-36.8,174.75,66.47,65,99,8.01,NZ,1671047994
Campbell River,50.0163,-125.2446,38.73,87,75,4.61,CA,1671047994
Cullman,34.1748,-86.8436,55.81,94,100,8.05,US,1671047995
Yambio,4.5721,28.3955,74.1,63,91,3.94,SS,1671047995
Acaraú,-2.8856,-40.12,82.47,66,51,16.33,BR,1671047738
Mandalgovi,45.7625,106.2708,-7.51,87,31,9.46,MN,1671047995
Moroni,-11.7022,43.2551,79.07,79,99,3.8,KM,1671047996
Örnsköldsvik,63.2909,18.7153,-3.05,84,0,6.91,SE,1671047996
Bandar,2.05,99.75,70.95,96,100,2.04,ID,1671047997
Lavrentiya,65.5833,-171.0,26.31,81,100,29.77,RU,1671047997
Cervo,43.6702,-7.4101,58.96,75,100,6.38,ES,1671047998
Tokmak,47.2514,35.7058,30.63,69,98,5.3,UA,1671047998
Morehead,37.2711,-87.1764,55.78,99,100,3.0,US,1671047999
Roblin,51.23,-101.3565,22.51,93,100,11.95,CA,1671047999
Naze,28.3667,129.4833,54.52,68,100,10.54,JP,1671047999
Saint Anthony,45.0205,-93.218,36.91,92,100,7.0,US,1671048000
Port Victoria,0.0939,33.9756,71.26,71,37,0.85,KE,1671048000
Nantucket,41.2835,-70.0995,39.09,68,3,26.6,US,1671047921
Stornoway,58.2093,-6.3865,36.03,81,20,12.66,GB,1671048001
Voh,-20.9667,164.7,77.23,74,1,2.53,NC,1671048002
Aktash,50.3,87.7333,-22.41,89,65,4.18,RU,1671048002
